Country,2012,2013,2014,2015,2016,Average
Armenia,-0.042271338,0.069011472,-0.198050931,-0.16071257,-0.149187073,-0.096242088
Australia,1.621440053,1.639869452,1.607114673,1.564803481,1.584797382,1.603605008
Austria,1.57587254,1.588477135,1.572585702,1.479387999,1.513507843,1.545966244
Cameroon,-0.898006082,-0.918751955,-0.791034162,-0.773310483,-0.759951293,-0.828210795
Canada,1.765713096,1.788731575,1.760523319,1.762370825,1.798412919,1.775150347
Central African Rep.,-1.448529005,-1.609882593,-1.848332644,-1.784717083,-1.768063784,-1.691905022
Chad,-1.488765597,-1.3888309,-1.495927334,-1.461070895,-1.494260192,-1.465770984
Dem. Rep. of Congo,-1.654934764,-1.477709651,-1.561380267,-1.629252434,-1.505256891,-1.565706801
Djibouti,-1.063122511,-0.962294519,-0.974384606,-0.954309046,-0.973534286,-0.985528994
Egypt,-0.808497548,-0.877399504,-0.822677433,-0.75222075,-0.657724082,-0.783703863
Equiatorial Guinea,-1.606107473,-1.541716576,-1.504542947,-1.417881489,-1.409004807,-1.495850658
Ethiopia,-0.425269544,-0.606997073,-0.42448172,-0.646661103,-0.639099538,-0.548501796
France,1.340279341,1.48182869,1.403170347,1.437052965,1.406624436,1.413791156
Germany,1.593369126,1.542519927,1.731391549,1.73711729,1.744619012,1.669803381
India,-0.170951098,-0.171536714,-0.205647334,0.09046378,0.100246459,-0.071484981
Iran,-0.525846243,-0.676853836,-0.426920831,-0.208824545,-0.204273582,-0.408543807
Iraq,-1.108618498,-1.096112847,-1.111156821,-1.246446609,-1.264272571,-1.165321469
Israel,1.277025223,1.249336243,1.210811973,1.388034582,1.352508664,1.295543337
Italy,0.42067042,0.458483517,0.374144018,0.448110193,0.521717191,0.444625068
Jordan,-0.011274511,-0.048918359,0.116841048,0.122611709,0.136063963,0.06306477
Kenya,-0.52325058,-0.457267225,-0.333343953,-0.29414168,-0.314097196,-0.384420127
Lebanon,-0.346782535,-0.395220429,-0.37551415,-0.474226981,-0.528524876,-0.424053794
Netherlands,1.813399553,1.78395927,1.817106485,1.832803488,1.841307998,1.817715359
Niger,-0.682663262,-0.720928311,-0.696187019,-0.605987728,-0.592877626,-0.659728789
Pakistan,-0.777933121,-0.791803539,-0.755000889,-0.667473018,-0.637140572,-0.725870228
South Africa,0.345631182,0.438292533,0.341089219,0.261675388,0.272058576,0.33174938
Sudan,-1.419656754,-1.485421419,-1.532044411,-1.46239388,-1.406250358,-1.461153364
Sweden,1.957009554,1.909026146,1.803889275,1.816197515,1.787077904,1.854640079
Syria,-1.148971319,-1.400502443,-1.400044918,-1.590460181,-1.824969411,-1.472989654
Turkey,0.408523589,0.381218404,0.365242243,0.22311984,0.047929186,0.285206652
Uganda,-0.570018351,-0.585942507,-0.501476347,-0.485693216,-0.569913685,-0.542608821
United Kingdom,1.547542214,1.495450616,1.626729727,1.744032383,1.610874891,1.604925966
United States,1.529325604,1.523666263,1.467586279,1.463781953,1.481050014,1.493082023
Yemen,-1.273240685,-1.220350742,-1.410873294,-1.627152562,-1.819497466,-1.47022295
Afghanistan,-1.360139608,-1.384929776,-1.331395626,-1.322988749,-1.222106338,-1.324312019
Nigeria,-0.99647665,-0.992039919,-1.186016917,-0.96267271,-1.087381601,-1.044917559
Somalia,-2.200339079,-2.21736145,-2.445875883,-2.196963072,-2.180417776,-2.248191452
South Sudan,-1.584736586,-1.679246902,-2.068171263,-2.163179398,-2.259861946,-1.951039219
Syria,-1.148971319,-1.400502443,-1.400044918,-1.590460181,-1.824969411,-1.472989654
