Country,2012,2013,2014,2015,2016,Average
Armenia,0.154794976,0.110385142,-0.2971358,-0.252332628,-0.60086602,-0.177030866
Australia,0.997997224,1.031072974,1.032191992,0.884979844,0.963897407,0.982027888
Austria,1.340566874,1.364100575,1.270700455,1.143079281,0.817217648,1.187132967
Cameroon,-0.588517427,-0.532237291,-1.059252381,-0.989607453,-0.949917555,-0.823906421
Canada,1.113016248,1.061421752,1.17550385,1.274697781,1.242899418,1.17350781
Central African Rep.,-1.852922916,-2.154896736,-2.699193239,-1.904764652,-1.737660766,-2.069887662
Chad,-1.044117332,-1.089472294,-1.568882704,-0.974552572,-1.208127022,-1.177030385
Dem. Rep. of Congo,-2.085892916,-2.192190647,-2.167921305,-2.150854349,-2.197615147,-2.158894873
Djibouti,0.160619214,-0.102187522,-0.77023226,-0.443531573,-0.627737701,-0.356613968
Egypt,-1.436329722,-1.6388309,-1.631176591,-1.496645689,-1.419192791,-1.524435139
Equiatorial Guinea,0.232703447,0.120355181,-0.374146551,-0.205352426,-0.192911938,-0.083870457
Ethiopia,-1.564271331,-1.407307386,-1.339387417,-1.498187423,-1.568975925,-1.475625896
France,0.554941535,0.448744118,0.300568491,0.106706373,-0.064124487,0.269367206
Germany,0.775621295,0.92798388,0.925186455,0.699824274,0.760188997,0.81776098
India,-1.289309859,-1.229174137,-0.99791199,-0.948493361,-0.954577804,-1.08389343
Iran,-1.323926091,-1.249686599,-0.874987662,-0.925701737,-0.744589269,-1.023778272
Iraq,-1.934050202,-2.011390448,-2.480337858,-2.260351896,-2.277800083,-2.192786097
Israel,-1.07890439,-1.101284742,-1.039735317,-1.094912767,-0.827416778,-1.028450799
Italy,0.508217514,0.495499194,0.458165407,0.3759197,0.352587372,0.438077837
Jordan,-0.523977637,-0.606315255,-0.540025532,-0.605778575,-0.533168256,-0.561853051
Kenya,-1.323441267,-1.166930914,-1.282247186,-1.244405627,-1.327488184,-1.268902636
Lebanon,-1.664812326,-1.690353394,-1.697941303,-1.702586532,-1.555009127,-1.662140536
Netherlands,1.187464714,1.143815398,1.045115352,0.926119328,0.889827311,1.038468421
Niger,-1.148130894,-1.321799397,-1.175840497,-1.066546202,-1.083972454,-1.159257889
Pakistan,-2.677003622,-2.603302002,-2.401279211,-2.482707977,-2.467288494,-2.526316261
South Africa,-0.0253867,-0.046294536,-0.146388963,-0.212992936,-0.131479323,-0.112508492
Sudan,-2.260563374,-2.193009615,-2.363084555,-2.162183285,-2.380922079,-2.271952582
Sweden,1.170597196,1.127778053,1.065414786,0.947106421,0.980088055,1.058196902
Syria,-2.682273865,-2.681142807,-2.74882412,-2.974081039,-2.914052963,-2.800074959
Turkey,-1.22053194,-1.249932528,-1.086035967,-1.493914008,-1.998280168,-1.409738922
Uganda,-0.86896652,-0.838690639,-0.941126168,-0.804501653,-0.723371863,-0.835331369
United Kingdom,0.402270734,0.486201435,0.415347636,0.517747939,0.379436076,0.440200764
United States,0.632442117,0.643072605,0.582419634,0.678062379,0.353568375,0.577913022
Yemen,-2.430663109,-2.3748281,-2.665575027,-2.680221558,-2.793776035,-2.589012766
Afghanistan,-2.418561459,-2.519349098,-2.411068439,-2.571221828,-2.749167442,-2.533873653
Nigeria,-2.042073727,-2.088478327,-2.130276442,-1.925442815,-1.853854895,-2.008025241
Somalia,-2.860755444,-2.758686543,-2.515828133,-2.380827904,-2.330216885,-2.569262982
South Sudan,-1.156583309,-1.730328679,-2.646576643,-2.37568903,-2.418430328,-2.065521598
Syria,-2.682273865,-2.681142807,-2.74882412,-2.974081039,-2.914052963,-2.800074959
