Country,2012,2013,2014,2015,2016,Average
Armenia,-0.417913109,-0.344212234,-0.365905493,-0.387850553,-0.105174474,-0.324211173
Australia,1.766946197,1.778639317,1.923104525,1.825228572,1.752019286,1.809187579
Austria,1.858178735,1.851382136,1.952464104,1.855263472,1.777863264,1.859030342
Cameroon,-1.041518331,-1.050953388,-0.896448255,-0.975390732,-1.019376278,-0.996737397
Canada,1.763582468,1.755975723,1.89068222,1.842076302,1.835433841,1.817550111
Central African Rep.,-1.443371415,-1.793080688,-1.695696592,-1.684809923,-1.843082547,-1.692008233
Chad,-1.466065764,-1.382488251,-1.138648629,-1.183280706,-1.427221417,-1.319540953
Dem. Rep. of Congo,-1.657000303,-1.573436379,-1.451048017,-1.572552443,-1.613560557,-1.57351954
Djibouti,-0.791456461,-0.772086501,-0.8739326,-0.922180951,-0.971201181,-0.866171539
Egypt,-0.472383499,-0.633282006,-0.662516296,-0.594087958,-0.40953967,-0.554361886
Equiatorial Guinea,-1.295616746,-1.349340796,-1.448759675,-1.456297636,-1.43647027,-1.397297025
Ethiopia,-0.677484751,-0.647413611,-0.471563309,-0.509025514,-0.393549562,-0.539807349
France,1.454164147,1.426772714,1.474639177,1.41331923,1.406672239,1.435113501
Germany,1.664947629,1.649499655,1.856834173,1.795013547,1.606999516,1.714658904
India,-0.07196191,-0.057318583,-0.063245445,-0.047318075,-0.070349738,-0.06203875
Iran,-0.915893674,-0.995813966,-1.056347728,-0.923484564,-0.712391138,-0.920786214
Iraq,-1.457862616,-1.449635625,-1.334787846,-1.417774558,-1.701309562,-1.472274041
Israel,0.934555173,0.978043199,1.107662916,1.162290215,1.018595576,1.040229416
Italy,0.403319508,0.402901322,0.37739116,0.275057644,0.265291482,0.344792223
Jordan,0.369098425,0.392967433,0.464213163,0.439434081,0.313855678,0.395913756
Kenya,-0.823801458,-0.711124599,-0.4168576,-0.487965614,-0.530303478,-0.59401055
Lebanon,-0.751038015,-0.775689304,-0.766248524,-0.825654566,-0.858584702,-0.795443022
Netherlands,1.861233473,1.8350811,1.980402589,1.944209576,1.893922448,1.902969837
Niger,-0.647663116,-0.659603357,-0.645743966,-0.579464018,-0.641173244,-0.63472954
Pakistan,-0.884221256,-0.856815755,-0.760338485,-0.766665697,-0.829703987,-0.819549036
South Africa,0.110431656,0.15814814,0.182790428,0.088763915,0.072629265,0.122552681
Sudan,-1.226251721,-1.271083117,-1.167488456,-1.208177567,-1.261823654,-1.226964903
Sweden,1.951555252,1.972878098,1.992006302,2.037810326,2.043331146,1.999516225
Syria,-1.126029253,-1.406142831,-1.362182021,-1.4230479,-2.005616665,-1.464603734
Turkey,0.036303889,0.066958897,0.00512341,-0.113019049,-0.161740422,-0.033274655
Uganda,-0.348161995,-0.34128201,-0.38838008,-0.385777652,-0.243586317,-0.341437611
United Kingdom,1.718675971,1.705037713,1.889571428,1.813076496,1.626928091,1.75065794
United States,1.627279043,1.557241082,1.610473037,1.59612298,1.666049957,1.61143322
Yemen,-1.267264366,-1.177236438,-1.200264573,-1.271081805,-1.600989103,-1.303367257
Afghanistan,-1.643164515,-1.597314,-1.445647597,-1.504045248,-1.616429567,-1.561320185
Nigeria,-1.146282315,-1.113679528,-1.049235106,-0.961073756,-1.054016471,-1.064857435
Somalia,-2.423379183,-2.40424633,-2.349381208,-2.300122499,-2.370821476,-2.369590139
South Sudan,-1.430731654,-1.512014747,-1.822960019,-1.855479956,-1.691815734,-1.662600422
Syria,-1.126029253,-1.406142831,-1.362182021,-1.4230479,-2.005616665,-1.464603734
