Country,Origin,Year,Month,Value
Australia,Bahrain,2015,February,1
Australia,Bahrain,2015,May,1
Australia,Bahrain,2015,October,2
Australia,Bahrain,2015,December,1
Australia,Burundi,2015,May,9
Australia,Burundi,2015,July,3
Australia,Burundi,2015,October,1
Australia,Burundi,2015,November,5
Australia,Burundi,2015,December,1
Australia,Palestinian,2015,January,1
Australia,Palestinian,2015,February,3
Australia,Palestinian,2015,May,2
Australia,Palestinian,2015,June,7
Australia,Palestinian,2015,August,4
Australia,Palestinian,2015,September,1
Australia,Palestinian,2015,October,3
Australia,Palestinian,2015,December,6
Albania,Afghanistan,2015,May,3
Albania,Central African Rep.,2015,April,3
Albania,Cameroon,2015,February,1
Albania,Cameroon,2015,March,1
Albania,Dem. Rep. of the Congo,2015,October,2
Albania,Eritrea,2015,January,1
Albania,Eritrea,2015,March,1
Albania,Eritrea,2015,June,5
Albania,Gabon,2015,February,1
Albania,Gabon,2015,April,2
Albania,Iran (Islamic Rep. of),2015,February,3
Albania,Iran (Islamic Rep. of),2015,June,15
Albania,Iran (Islamic Rep. of),2015,July,42
Albania,Iran (Islamic Rep. of),2015,August,35
Albania,Iran (Islamic Rep. of),2015,September,38
Albania,Iran (Islamic Rep. of),2015,October,145
Albania,Iran (Islamic Rep. of),2015,November,73
Albania,Iran (Islamic Rep. of),2015,December,131
Albania,Iraq,2015,June,1
Australia,Indonesia,2015,January,4
Australia,Indonesia,2015,February,4
Australia,Indonesia,2015,March,8
Australia,Indonesia,2015,April,11
Australia,Indonesia,2015,May,12
Australia,Indonesia,2015,June,16
Australia,Indonesia,2015,July,24
Australia,Indonesia,2015,August,28
Australia,Indonesia,2015,September,43
Australia,Indonesia,2015,October,22
Australia,Indonesia,2015,November,23
Australia,Indonesia,2015,December,21
Australia,Ireland,2015,March,1
Australia,Ireland,2015,April,6
Australia,Ireland,2015,May,10
Australia,Ireland,2015,June,1
Australia,Ireland,2015,July,1
Australia,Ireland,2015,August,5
Australia,Ireland,2015,September,5
Australia,Ireland,2015,November,2
Australia,United Kingdom of Great Britain and Northern Ireland,2015,February,2
Australia,United Kingdom of Great Britain and Northern Ireland,2015,March,2
Australia,United Kingdom of Great Britain and Northern Ireland,2015,April,1
Australia,United Kingdom of Great Britain and Northern Ireland,2015,May,3
Australia,United Kingdom of Great Britain and Northern Ireland,2015,June,5
Australia,United Kingdom of Great Britain and Northern Ireland,2015,July,2
Australia,United Kingdom of Great Britain and Northern Ireland,2015,August,6
Australia,United Kingdom of Great Britain and Northern Ireland,2015,September,6
Australia,United Kingdom of Great Britain and Northern Ireland,2015,October,5
Australia,United Kingdom of Great Britain and Northern Ireland,2015,November,4
Australia,Bangladesh,2015,January,17
Australia,Bangladesh,2015,February,10
Australia,Bangladesh,2015,March,28
Australia,Bangladesh,2015,April,6
Australia,Bangladesh,2015,May,13
Australia,Bangladesh,2015,June,21
Australia,Bangladesh,2015,July,16
Australia,Bangladesh,2015,August,19
Australia,Bangladesh,2015,September,23
Australia,Cameroon,2015,January,1
Australia,Cameroon,2015,February,1
Australia,Cameroon,2015,March,1
Australia,Cameroon,2015,July,3
Australia,Cameroon,2015,August,2
Australia,Cameroon,2015,September,1
Australia,Dem. Rep. of the Congo,2015,January,1
Australia,Dem. Rep. of the Congo,2015,June,1
Australia,Dem. Rep. of the Congo,2015,July,5
Australia,Dem. Rep. of the Congo,2015,August,1
Australia,Dem. Rep. of the Congo,2015,December,1
Albania,The former Yugoslav Rep. of Macedonia,2015,January,1
Albania,The former Yugoslav Rep. of Macedonia,2015,February,1
Albania,Russian Federation,2015,May,1
Albania,Somalia,2015,June,1
Albania,Sudan,2015,June,3
Albania,Syrian Arab Rep.,2015,April,28
Albania,Syrian Arab Rep.,2015,May,2
Albania,Syrian Arab Rep.,2015,June,37
Albania,Syrian Arab Rep.,2015,August,1
Albania,Syrian Arab Rep.,2015,October,3
Albania,Ukraine,2015,May,1
Albania,Ukraine,2015,June,1
Albania,Ukraine,2015,November,1
Australia,Bangladesh,2015,October,27
Australia,Bangladesh,2015,November,16
Australia,Bangladesh,2015,December,21
Australia,Burkina Faso,2015,May,1
Australia,Botswana,2015,July,1
Australia,Georgia,2015,December,2
Australia,Germany,2015,February,3
Australia,Germany,2015,March,1
Australia,Germany,2015,August,2
Australia,Germany,2015,November,2
Australia,Colombia,2015,January,5
Australia,Colombia,2015,March,11
Australia,Colombia,2015,April,2
Australia,Colombia,2015,June,2
Australia,Colombia,2015,August,1
Australia,Colombia,2015,September,2
Australia,Colombia,2015,October,1
Australia,Colombia,2015,November,3
Australia,Colombia,2015,December,2
Australia,Cyprus,2015,March,1
Australia,Czech Rep.,2015,January,1
Australia,Czech Rep.,2015,April,3
Australia,Denmark,2015,November,1
Australia,Dominica,2015,September,1
Australia,Brazil,2015,February,3
Australia,Brazil,2015,March,3
Australia,Brazil,2015,September,1
Australia,Brazil,2015,October,1
Australia,Brazil,2015,December,2
Australia,Brunei Darussalam,2015,May,1
Australia,Bosnia and Herzegovina,2015,June,1
Australia,Bosnia and Herzegovina,2015,August,2
Australia,Afghanistan,2015,January,2
Australia,Afghanistan,2015,February,7
Australia,Afghanistan,2015,March,5
Australia,Afghanistan,2015,April,8
Australia,Afghanistan,2015,May,13
Australia,Afghanistan,2015,June,32
Australia,Afghanistan,2015,July,45
Australia,Afghanistan,2015,August,39
Australia,Afghanistan,2015,September,93
Australia,Afghanistan,2015,October,173
Australia,Afghanistan,2015,November,72
Australia,Afghanistan,2015,December,80
Australia,Ghana,2015,January,1
Australia,Ghana,2015,February,4
Australia,Ghana,2015,March,4
Australia,Ghana,2015,April,6
Australia,Ghana,2015,May,1
Australia,Ghana,2015,June,1
Australia,Ghana,2015,July,2
Australia,Ghana,2015,October,3
Australia,Ghana,2015,November,5
Australia,Ghana,2015,December,2
Australia,Greece,2015,February,2
Australia,Greece,2015,July,1
Australia,Greece,2015,August,1
Australia,Greece,2015,October,1
Australia,Greece,2015,November,2
Australia,Iran (Islamic Rep. of),2015,January,13
Australia,Iran (Islamic Rep. of),2015,February,25
Australia,Iran (Islamic Rep. of),2015,March,29
Australia,Iran (Islamic Rep. of),2015,April,24
Australia,Iran (Islamic Rep. of),2015,May,13
Australia,Iran (Islamic Rep. of),2015,June,35
Australia,Iran (Islamic Rep. of),2015,July,47
Australia,Iran (Islamic Rep. of),2015,August,208
Australia,Iran (Islamic Rep. of),2015,September,147
Australia,Iran (Islamic Rep. of),2015,October,115
Australia,Iran (Islamic Rep. of),2015,November,68
Australia,Iran (Islamic Rep. of),2015,December,120
Australia,Iraq,2015,January,21
Australia,Iraq,2015,February,61
Australia,Iraq,2015,March,50
Australia,Iraq,2015,April,60
Australia,Iraq,2015,May,62
Australia,Iraq,2015,June,144
Australia,Iraq,2015,July,106
Australia,Iraq,2015,August,124
Australia,Iraq,2015,September,85
Australia,Iraq,2015,October,89
Australia,Iraq,2015,November,88
Australia,Iraq,2015,December,153
Australia,Cambodia,2015,January,2
Australia,Cambodia,2015,February,4
Australia,Cambodia,2015,April,1
Australia,Cambodia,2015,May,1
Australia,Cambodia,2015,June,2
Australia,Cambodia,2015,July,3
Australia,Cambodia,2015,September,3
Australia,Cambodia,2015,October,2
Australia,Cambodia,2015,November,4
Australia,Cambodia,2015,December,2
Australia,Albania,2015,February,1
Australia,Albania,2015,March,2
Australia,Albania,2015,April,1
Australia,Albania,2015,June,6
Australia,Albania,2015,August,3
Australia,Albania,2015,September,4
Australia,Albania,2015,December,1
Australia,Guinea,2015,September,1
Australia,Israel,2015,January,5
Australia,Israel,2015,March,1
Australia,Israel,2015,May,1
Australia,Israel,2015,June,2
Australia,Israel,2015,August,1
Australia,Israel,2015,September,3
Australia,Israel,2015,October,1
Australia,Israel,2015,November,1
Australia,Italy,2015,January,3
Australia,Italy,2015,February,4
Australia,Italy,2015,March,3
Australia,Italy,2015,April,1
Australia,Italy,2015,June,1
Australia,Italy,2015,September,2
Australia,Italy,2015,November,1
Australia,Italy,2015,December,6
Australia,Jamaica,2015,March,1
Australia,Jordan,2015,January,1
Australia,Jordan,2015,February,10
Australia,Jordan,2015,March,7
Australia,Eritrea,2015,February,1
Australia,Eritrea,2015,March,1
Australia,Eritrea,2015,June,1
